Name,Description,Type,Things to note:,Optional:,Time to spend:,Price,website,address,zipcode,other fields,keywords,secondary keyword,Opening and closing,neighborhood
Opéra Garnier,Audioguide & wander through the opera or watch a ballet,theater,,,,11 + 5 audioguide,https://www.operadeparis.fr/,8 Rue Scribe,75009,,,,,9eme
Musee de la vie romantique,free mseum- really tiny but good garden.,museum,,,,,http://www.museevieromantique.paris.fr/fr,16 Rue Chaptal,75009,,,,,9eme
boulangerie at the intersection of rue lepic and abbesses,delicious breads,boulangerie,,,,,,,,,,,,montmartre
Musee Montmartre,"The museum gardens alone are worth the price of admission. But in addition to the beautiful view, this museum has a wonderful collection of paintings of Montmartre itself, and it has preserved the studio of Suzanne Valadon, one of the artists who lived and worked on Montmartre when it was the center of the art world.",museum,,,An hour and a half,12 euros including audioguide or 18 euros for a guided visit,http://museedemontmartre.fr/en/infos-pratiques/,12-14 Rue Cortot,75018,,,,10:00 am to 6:00 pm,montmartre
Musée de l'Orangerie,"The Musée de l'Orangerie is a sister museum to the Musée d'Orsay, and also dedicated to impressionist and Post-Impressionist art (roughly 1850 to 1914). The highlight is Monet's monumental Water Lilies, which are displayed in two rooms built specially to house them",museum,,"If you prefer surrealist art: the Espace Dali is also a must see. It is a small museum dedicated to Salvador Dali (11 Rue Poulbot, 75018).",,Musée de l'Orangerie: 12 euros.  Musée d'Orsay + Musée de l'Orangerie: 16 euros.,http://www.musee-orangerie.fr/en,,,,,,"Wednesday-Monday, 9:00 - 18:00",1
Saint Sulpice,"The baroque-era church of Saint-Sulpice has a fascinating, layered history. During the French Revolution it was deconsecrated and turned into a Temple of the Supreme Being (you can just barely make out the inscription on the façade) and then into a Temple of Victory, before being re-consecrated as a Catholic church. In December there is a Christmas market in front of the church.",church,,Still feel like walking? Duck into the Luxembourg Gardens nearby but beware it closes at 17:00 in the fall.,30 minutes,Free,https://en.parisinfo.com/paris-museum-monument/93215/Eglise-Saint-Sulpice,2 Rue Palatine,75006,,,,,6
Pierre hermé,Best macarons in Paris,store,,,,5ish for 2,https://www.pierreherme.com/,18 Rue Sainte-Croix de la Bretonnerie,75004,,,,,6
la pariesienne,boulangerie with pain feuillete,boulangerie,,,,,http://www.boulangerielaparisienne.com/,12 Rue Cadet,75009,,,,,6
Versailles,Chateau,explore,,,8 hours,,,,,,museum,nature,"Tuesday-Sunday: April-October 9h00 - 18h30, November-March: 9h00 - 17h30.",hors paris
,Jardin,explore,,,,,,,,,,,"Tuesday-Sunday: April-October 7h00 - 20h30, November-March: 8h00 - 18h00.",
,Grand & Petit Trianon,explore,,,,,,,,,,,"Tuesday-Sunday: April-October 12h00 - 18h30, November-March: 12h00 - 17h30.",
Cemetary of monmartre,,cemetary,,,,,https://www.paris.fr/equipements/cimetiere-de-montmartre-5061,20 Avenue Rachel,75018,,,,,
Museum of counterfeiting,,museum,,,,,https://musee-contrefacon.com/,16 Rue de la Faisanderie,75016,,,,,
Notre Dame,"Built between 1163 and 1345, the Notre Dame de Paris (literally translated: Our lady of Paris) has been the symbol of the city since it was created. Today it is still an important shrine for believers, since it holds the Crown of Thorns. Make sure you check out the square in front of the church. It has been turned into a map of the medieval town. It is here where you can also see Point Zero, the geographical center of the city.",church,"There is often a long line to get into Notre Dame. Do not be afraid of it! It is simply for the bag check, and it moves very quickly. There is a dress code to enter: shoulders and thighs must be covered.
","If you are interested in the ancient Roman and medieval history of Paris, check out the Archaeological Crypt on the other end of the square from the church (website). http://www.crypte.paris.fr/en/crypt",One hour,"Free, 10 euros if you decide to climb the tower (no elevator) + 8 euros for Archaeological Crypt http://www.tours-notre-dame-de-paris.fr/en/Prepare-for-your-visit/Practical-information",http://www.notredamedeparis.fr/en/visites/,6 Parvis Notre-Dame - Pl. Jean-Paul II,75004,,,,"7h45 à 18h45, 1945 sat sun",Ile de la Cité
Vedettes du Pont Neuf - Boat Cruise,,cruise,,,,,http://www.vedettesdupontneuf.com/home/,1 Square du Vert Galant,75001,,,,every 1/2h from 10:30am to 10:30pm,
Sainte Chapelle,"This was the private chapel of the kings of France, built by Louis IX between 1242 and 1248. The stained glass in the chapel is stunning, and more than 70% of it survives from the middle ages. In our opinion, it is one of the most beautiful churches in Paris, and definitely worth the price of admission.",church,"To get to the chapel you will have to go through a rigorous security check since it is in the same complex as government offices. You will not be allowed to bring in glass bottles or sharp metallic objects, including corkscrews.",Feeling like packing in the sights? Buy a combined ticket and check out the Conciergerie next door. This famous prison is where Marie-Antoinette spent her final days. http://www.paris-conciergerie.fr/en/,One hour (Two hours with the Conciergerie),10 euros (15 euros with the Conciergerie),http://www.sainte-chapelle.fr/en/,8 Boulevard du Palais,75001,,,,9-1700,
Le Jardin Luxembourg,,park,,,,,https://www.parisinfo.com/musee-monument-paris/71393/Jardin-du-Luxembourg,Le Jardin du Luxembourg,75006,,,,"7h30 et 8h15 et fermeture entre 16h30 et 21h30, selon la saison",
Shakespeare and Company,"Browse through the most famous English-language bookstore in France. The original Shakespeare and Co., founded by Sylvia Beech, was a gathering place for expat writers in the 1920s. This Shakespeare and Co., founded in 1951 by George Whitman, has also become a magnet for writers, artists, and intellectuals. The collection is vast, the people are interesting, and the atmosphere is unparalleled. The top floor is for reading only as the books there are not for purchase.",store,,Need a snack? Check out the newly-opened café next door to Shakespeare and Company.,30 minutes,Free to enter,https://shakespeareandcompany.com/,"37 Rue de la Bûcherie, 75005",75005,,,,7/7  1000 - 2300,
La Ferme Saint-Aubin,,,,,,,https://www.tripadvisor.fr/Attraction_Review-g187147-d194313-Reviews-La_Ferme_Saint_Aubin-Paris_Ile_de_France.html,"76 Rue Saint-Louis en l'Île, 75004 Paris, France",75004,,,,09:00 - 19:30,
Musée d'Orsay,"Once a train station in the heart of the city, the Orsay museum is dedicated to impressionist and Post-Impressionist art (roughly 1850 to 1914). Its collections include some of the most famous paintings by Monet, Renoir, and Van Gogh. Make sure you take a break from the art & visit the café on the top level, where you will get a view of the city from behind one of the giant clocks!",museum,Worth it to buy tickets ahead of time via the website in order to skip the line (enter via the right.),,,,http://www.musee-orsay.fr/en/visit/welcome.html,"1 Rue de la Légion d'Honneur, 75007 Paris",75007,,,,"9.30am to 6pm
9.30am to 9.45pm on Thursdays",6
Moulin Rouge,,theater,,,,,http://www.moulinrouge.fr/a-propos?lang=en,"82 Boulevard de Clichy, 75018 Paris",75018,,,,,
Café des deux moulins,,bar,,,,,http://cafedesdeuxmoulins.fr/en,"15 Rue Lepic, 75018 Paris",75018,,,,08h - 02h,
Sacré-Coeur,The church of Sacré Coeur is built on the highest natural point in the city. So of course the view from here is absolutely spectacular! Spend the rest of your time wandering the small streets of Montmartre where artists still roam and the Impressionists left their mark.,church,"Entry into the church is free for worshippers. Photos are forbidden inside, and they do ask for complete silence.",Go into the crypt and up in the dome for spectacular views for a small fee (https://www.tripadvisor.com/ShowUserReviews-g187147-d190685-r158614817-Basilica_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html).,One hour,Free to Enter (crypt and dome not included),http://www.sacre-coeur-montmartre.com/english/practical-information/opening-and-service-times/,"35 Rue du Chevalier de la Barre, 75018",75018,,,,600 - 2230,
Matière à,,restaurant,,,,,http://www.matiere-a.com/,"15 Rue Marie et Louise, 75010 Paris",75010,,,,"mon-fri 12-14,1930-2300 sat 1930-2300",
Walk through Place des Vosges & Hôtel de Sully,"This square used to be home to one of the royal residences. Today, it is filled with art galleries and cafés. As you walk through, try and spot which buildings are made of real brick and which ones are simply painted to imitate brick! Go through the door in the southwest corner of the square, and you will enter Hôtel de Sully, a 17th century noble townhouse. If you like books about Parisian history, check out the bookstore in the building, which is owned by the National Monuments department of the French government.",explore,,,Thirty minutes,,https://en.parisinfo.com/transport/73189/Place-des-Vosges,"Hôtel de Sully, 62 Rue Saint-Antoine, 75004",75004,,,,,
Le Village Saint-Paul,,explore,,,,,http://levillagesaintpaul.com/,"Le Village Saint-Paul, Rue Saint-Paul, Paris",75004,,,,,
Arc de Triomphe,"Built by Napoleon Bonaparte as a monument to his victories. Today the Arc de Triomphe is also a memorial to French soldiers who died during the Revolutionary and Napoleonic Wars, and contains the Tomb of the Unknown Soldier.",monument,Open til 23:00. There is a special life for those with reduced mobility.,,Two hours,"12 euros, free for EU citizens under 18 years old",http://www.paris-arc-de-triomphe.fr/en/,"Place Charles de Gaulle, 75008",75008,,,,10.00-22.30,
Ladurée,,store,,,,,https://www.laduree.fr/en/our-shops-and-restaurants.html?facetFilters%5Bf_countryId%5D%5B100084%5D%5Bf_city%5D%5B108581%5D=1,"75 Av. des Champs-Élysées, 75008 Paris",75008,,,,1030-2300,
Louvre,,museum,,,,15 euros,http://www.louvre.fr/en/homepage,"Musée du Louvre, rue de rivoli, 75001 paris",75001,,,,"Monday, Thursday, Saturday, Sunday: from 9 a.m. to 6 p.m.
Wednesday, Friday: from 9 a.m. to 9:45 p.m",
Galeries Lafayette,,store,,,,,galerieslafayette.com,"40 Boulevard Haussmann, 75009 Paris",75009,,,,"Monday to Saturday from 9.30am to 8.30pm
& Sundays from 11am to 7pm",
Kaitleen,Restaurant,restaurant,,,,,kaitleen.com,"7 Rue des Petits Champs, 75001 Paris",75001,,,,,
Marché Notre-Dame,,explore,,,,,http://www.versailles-tourisme.com/informations-pratiques-et-conseils/les-bonnes-adresses-shopping-de-versailles/les-marches-de-versailles-962895,"Marché Notre-Dame, Rue Neuve Notre Dame, Versailles",78000,,,,"Mardi, vendredi et dimanche de 7h à 14h.",
Chateau Versailles,,monument,,,,,http://en.chateauversailles.fr/plan-your-visit/practical-information,"Place d'Armes, 78000 Versailles",78000,,,,9.00 am – 6.30 pm,
Petit Trianon,,explore,,,,,http://www.chateauversailles.fr/decouvrir/domaine/domaine-trianon/petit-trianon,"Petit Trianon, Versailles",78000,,,,,
Grand Trianon,,explore,,,,,http://www.chateauversailles.fr/decouvrir/domaine/trianon/grand-trianon,"Grand Trianon, Versailles",78000,,,,,
Eiffel Tower,"Head to the Eiffel Tower, the most famous monument in Paris! Get a beautiful view of the tower either from the Champs de Mars (the big lawn in front of the tower) or Trocadero square (the building across the river from it). You do not need tickets to walk under the tower, but you do have to go through a security check. We think the view from right under the tower is worth the hassle.",monument,"The Eiffel Tower forbids glass bottles, aluminum cans, or sharp objects, so please do not bring any of these if you wish to enter or walk under the tower. In November, it is not always necessary to book your tickets to the top in advance, but if you are it a rush or do not like waiting in line, consider booking a tour of the tower.",,Three hours,"Adults 17 euros to summit via elevator. 11 euros to 2nd floor via elevator. 7 euros to 2nd floor via stairs. Children ages 1-11: 8 euros, 4 euros, and 3 euros respectively. Children ages 12-24: 14.50 euros, 8.50 euros, and 4 euros respectively.",http://www.toureiffel.paris/en/preparing-your-visit/opening-times,"Champ de Mars, 5 Avenue Anatole France, 75007 ",78007,,,,930-2300,
Musée d'art et d'histoire du Judaïsme,,museum,,,,,https://www.mahj.org/en/discover/museum,"Hôtel de Saint-Aignan, 71 Rue du Temple, 75003 Paris",75003,,,,"Tuesday to Friday: 11.00–18.00 
Saturday and Sunday: 10.00–18.00",
Chez Marianne,,restaurant,,,,,,"2 Rue des Hospitalières Saint-Gervais, 75004 Paris",75004,,,,12-2300,
Centre Georges Pompidou,,museum,,,,,https://www.centrepompidou.fr/en/Visit/Practical-information,"Place Georges-Pompidou, 75004 Paris",75004,,,,11 a.m. to 10 p.m,
Pain Vin Fromage,,store,,,,,http://painvinfromages.com/,"3 Rue Geoffroy l'Angevin, 75004 Paris",75004,,,,Starting at 19h,
Marché Aligre,"The Aligre market is one of the oldest covered markets in the city. In addition to the usual fresh produce, this covered market has a great fromagerie, a vegetarian butcher(!) and oodles of spices. There are also places to grab lunch.",explore,The market is closed on Mondays.,,two hours,free to enter,,"Place d'Aligre, 75012 ",75012,,,,Teus-Sat 9-1300 16-1900,
La fine mousse,,bar,,,,,http://www.lafinemousse.fr/,"6 Avenue Jean Aicard, 75011 Paris, France",75011,,,,"Mon-Fri 19h00-22h30
sat,sun 12-14,19-23",
Bellevilloise,,bar,,,,,https://www.labellevilloise.com/,"19-21 Rue Boyer, 75020 Paris",75011,,,,"Wed-fri 19-1, sat 11-2, sun 1130 - 14, 19-00",
Musée Cluny,,museum,,,,,www.musee-moyenage.fr/,"6 Place Paul Painlevé, 75005 Paris",75020,,,,every day but tues 9:15-1745,
Place Maubert,,explore,,,,,,"Place Maubert, Paris, 75005",75005,,,,,
Jardin des plantes,,park,,,,,http://www.jardindesplantes.net/,"57 Rue Cuvier, 75005 Paris",75005,,,,8-1830,
Au Lapin Agile,"Au Lapin Agile was a popular watering hole for the artists living on the hill during the turn of the last century. One of Picasso’s most famous self-portraits shows him here. Au Lapin Agile is still a cabaret artistique, and spending an evening there is really is a unique experience. You do have to participate in the singing of French drinking songs, but the choruses are easy for a non-francophone to pick up!
",theater,"Au Lapin Agile is open Tuesday-Sunday, 21:00-1:00. Reservations are required and they do not serve food, so eat something before arriving.",,Four hours,28 euros,au-lapin-agile.com,"22 Rue des Saules, 75018 ",75018,,,,,
Opéra Garnier,"The Opera Garnier is open for visitors when perrformances are not running. You can head in through the back entrance & pick up an audio guide that will take you through this fantastic Second Empire building. Be sure to check out Marc Chagall’s painted ceiling above the auditorium, and the box that is permanently reserved for The Phantom of the Opera.",theater,"Opera Garnier is open to visitors every day 10:00-17:00, but they do regularly close the building for part of a day when special performances or rehearsals are happening. Please check their website a day or two before.",,One and a half hours,12 euros,https://www.operadeparis.fr/en/visits/palais-garnier/individuals-2/information-and-booking,"Opéra Garnier, 8 Rue Scribe, 75009 Paris",75009,,,,,
Musée du chocolat,,museum,,,,,http://www.museeduchocolat.fr/?lang=en,"28 Boulevard de Bonne Nouvelle, 75010 Paris",75010,,,,10-18,
Forum Des Halles,,mall,,,,,http://forumdeshalles.com/,"Les Halles, 75001 Paris",75001,,,,11-19,
Duc des lombards,,bar,,,,,ducdeslombards.com,"42 Rue des Lombards, 75001 Paris",75001,,,,,
Musée de la chasse,,museum,,,,,http://www.chassenature.org/visite/?lang=en/#horaires,"62 Rue des Archives, 75003 Paris",75003,,,,"Mardi à Dimanche, 11h à 18h 
Mercredi, 11h à 21h30",
Chez Janou,,restaurant,,,,,http://www.chezjanou.com/,"2 Rue Roger Verlomme, 75003 Paris",75003,,,,"12-15, 19-00h00",
Musée des arts forains,,museum,,,,,http://arts-forains.com/en/visitors,"53 Avenue des Terroirs de France, 75012 Paris",75012,,,,10-18,
Invalides: Army Museum and the Tomb of Napoleon,"Come for Napoleon's tomb, which is worth the admission a lone, and stay for the history and impressive collection in the Army museum. This complex is still used as a home for wounded soldiers so do not be surprised if you pass some of the residents. The chapel is also worth a visit.",museum,,,2 hours,12 euros,http://www.musee-armee.fr/en/coming-to-the-museum/opening-times-and-prices.html,"Place des Invalides, 75007",75007,,,,10-18,
Pont Alexandre 3,,explore,,,,,,"Pont Alexandre 3, 75008 Paris",75008,,,,,
Petit Palais,,explore,,,,,http://www.petitpalais.paris.fr/en/plan-your-visit/basic-information,"Petit Palais, Avenue Winston Churchill, Paris",75008,,,,10-18 closed: monday,
Musée de l'Orangerie,,museum,,,,,,"Musée de l'Orangerie, Jardin Tuileries, 75001 Paris",75001,,,,"Open from 9am to 6pm, Last admission: 5.15pm, Closed on Tuesdays",
Basilique de Saint-Denis,,church,,,,9/person,http://www.saint-denis-basilique.fr/en/Prepare-for-your-visit/PRATICAL-INFORMATION#horaires,"1 Rue de la Légion d'Honneur, 93200 Saint-Denis",93200,,,,"Monday, Tuesday, Wednesday, 
Thursday, Friday, Saturday 10.00-17.15 
Sunday 12.00-17.15",
Studio 28,,theater,,,,,http://www.cinema-studio28.fr/contact/,"10 Rue Tholozé, 75018 Paris",75018,,,,,
Jan Tchi,,restaurant,,,,,http://www.jantchi.com/,"6 Rue Thérèse, 75001 Paris",75001,,,,"12:00–14:30, 19:00–22:20, 
closed sunday",
Green river,privatised boat - seine canal,cruise,,,,,http://www.greenriver-paris.fr/en/greenriver-tariffs-2016,34 Quai d'Austerlitz,75013,,,,,
Hotel OFF,American breakfast at a hotel on seine,restaurant,,,,,https://www.tripadvisor.fr/Hotel_Review-g187147-d10506106-Reviews-Hotel_OFF_Paris_Seine-Paris_Ile_de_France.html,86 Quai d'Austerlitz,75013,,,,,
Dinner overlooking the Eiffel Tower,"Trocadero square has one of the best views of the Eiffel tower (in our opinion) but with the benefit of being a little farther away from the crowds. Be sure to peruse before sitting down as not all cafés are created equal. One of our favorites is Café Malakoff (6 Place du Trocadéro et du 11 Novembre, 75116). After eating cross the street to get a snapshot overlooking the Eiffel Tower.",restaurant,The Eiffel Tower sparkles for a couple minutes on the top of each hour.,,Enjoy the rest of your night!,,,metro trocadero,75016,,neighborhood,food,,16
Vedettes du Pont Neuf - Boat Cruise,Relax and let the sights come to you as you cruise past the Eiffel Tower and many other famous places.,cruise,"This is an hour-long river cruise. Boats run every half hour from 10:30 to 22:30, but please double-check their website for any schedule changes before arriving.",There is other locations such as at Port-Llena,One hour,14 euros,http://www.vedettesdupontneuf.com/home/,"1 Square du Vert Galant, 75001",75001,,activity,tour,,1
Catacombs,"Originally, the catacombs were limestone quarries. In the late 18th century, the overcrowded cemeteries of Paris were closed, and the bones of those buried there were placed in a section of these tunnels. Today you can explore about 2 km of those tunnels, including the ossuary where 3-4 million people are resting. The history of the Catacombs and the ossuary are absolutely fascinating, and we recommend booking a guided tour. Not only will you get more information in a tour, you will also get to go to sections of the Catacombs that are not open to the general public!",museum,"Closed on Mondays. It is HIGHLY recommended especially in high-season to buy online and in advance a 'cut-the-line' ticket (it includes an audioguide) as wait times can be over two hours. Catacombs are not good for those with reduced mobility or fear of enclosed spaces. If you are going to wait in line, be aware that there are no toilets in the Catacombs or at the entrance.",You can get a ticket that includes the Archaelogical Crypt Museum (small but nice museum in front of Notre Dame) but this ticket can only be bought on location.,Two to four hours (if you wait in line) ,"Advance ticket with audioguide: 29 euros, otherwise 13 euros entry only, 17 euros total including Archeological Crypt Museum, and 5 for audioguide",http://www.catacombes.paris.fr/votre-visite,"1 Avenue du Colonel Henri Rol-Tanguy, 75014",75014,,,,,
"Lunch in the backroads of Notre DameWander the small neighborhood behind Notre Dame to grab a bite to eat. We suggest the Reserve of Quasimodo (4 rue de la Colombe, 75004).  This is where the true life story of Sweeney Todd ( happened so do not lose your head (http://www.messynessychic.com/2014/04/28/sweeney-todd-de-paris-the-original-demon-barber/). ",,explore,,,,,,,,,,,,
Sightseeing Cruise along the Seine river,"Relax and let the sights come to you as you cruise past the Eiffel Tower and many other famous places. The Bateau Parisien docks are just at the foot of the Eiffel tower, and they do allow you to bring food and drink.",cruise,"This is an hour-long river cruise. Boats run every half hour from 10:30 to 22:30, but please double-check their website for any schedule changes before arriving.",,One and a half hours,15 euros,https://www.bateauxparisiens.com/en/cruise-tours.html,"Porte de la Bourdonnais, 75005, accessible from Avenue de la Bourdonnais or from Pont d’Iéna",75005,,,,,
Dine in the Rue de Cler area,"This road is very close to the Eiffel Tower and filled with good restaurants. If none of them tickle your fancy, walk along rue Saint-Dominique, where there are even more places to eat.",restaurant,"Get off at station Pont d'alma, if taking the metro.",,,,,,,,,,,
Flower Market,"In between Notre Dame and Sainte Chapelle, the flower market is a wonderful place to (literally) stop and smell the roses. On Sundays, the flower market turns into a bird market.",explore,,,Thirty minutes,,http://www.sainte-chapelle.fr/en/Prepare-for-your-visit/Pratical-information,"Place Louis Lépine, Quai de la Corse 75001",75001,,,,,
Île Saint-Louis,Enjoy this mostly pedestrian island in the center of Paris. There are many dining options and plenty of street performances on a nice evening.,explore,,"Recommended restaurants include: La Brasserie de Saint Louis (55, quai de Bourbon 75004) or Auberge de la Reine Blanche (30, rue de St-Louis-en-l'Ile). Be sure to try Berthillon ice cream, which originated on Île Saint Louis. It is sold at several restaurants or from street vendors. During the day stop by at the original icecream parlor location ( 29-31 Rue Saint-Louis en l'Île, 75004) for a scoop or other delicious dessert.",,,https://en.wikipedia.org/wiki/%C3%8Ele_Saint-Louis,ile saint louis,75004,,,,,
Invalides to Saint Germain,"Take the long way from Invalides by walking over the Bridge Saint Alexandre III, then turning right through place de Concorde, continue straight through the Tuileries gardens (across the river from the Museum D'Orsay) and arrive at the Louvre. Cross back over to the left bank and continue to these cafés to take a load off your feet after a nice hour walk (not including photos).",explore,,,,,http://www.musee-armee.fr/lhotel-des-invalides.html,Rond-Point du Bleuet de France,75007,,route,,,
Cafés of the greats,"The two cafés on this corner (Café Flore and Café Deux Magots) may be pricey now, but they once were cheap and a haven for such famous thinker and writers of the café society as Hemingway, Sartre, Camus and de Beauvoir. It is still worth it to stop by for a café or a bite to eat what was experience their view. The second floor of Café Flore is supposed to be more quiet if you desire some rest from the hustle during lunch.",cafe,,,,,,"6 Place Saint-Germain des Prés, 75006 Paris",75006,,,,,
Église de Saint Germain des Prés,"Visit the burial site of another great thinker: Descartes. This is one of the oldest churches in Paris. It was originally built in 542 and destroyed by the Vikings in the ninth century, only to be rebuilt in 1014.",church,,,30 minutes,Free,https://www.eglise-saintgermaindespres.fr/,"3 Place St Germain des Prés, 75006",75006,,,,,
Taste Macarons,"Time to taste some of the best macarons in Paris (pricey but worth it!) There are three great macaron places along rue Bonaparte: Ladurée (no. 21), Chocolatier Richart (no. 27), and Pierre Hermé (no. 72). Take a walk down this road towards the Saint-Sulpice church & sample some macarons from each place. This area is also known for its art galleries, so it’s a perfect place for an art-lover.",explore,,,30 minutes,,,"21 rue Bonaparte, 75006",75006,,,,,
Drinks and dinner around Rue Mouffetard,"Rue Mouffetard is one of the old medieval streets leading out of the city. It's still a shopping road (pedestrian only), with plenty of cafés and food shops.",explore,"Jump in a taxi, take a metro to Place Monge or walk 30 minutes to get here from Saint Germain area.",,,,,,,,,,,
Dinner in the Marais,"There is no shortage of places to eat in the marais, especially around the Centre Pompidou. We suggest Pain Vin Fromage (3 Rue Geoffroy l'Angevin, 75004), a place that specializes in those three things: bread, wine, and cheese",explore,,,,,,,,,,,,
Dine and a walk along the canal,"Head from the west to north central Paris, to one of the most up-and-coming neighborhoods. The picturesque Canal Saint Martin is a popular place for locals and young people in Paris to gather. We recommend getting the crêpes at Lulu la Nantaise (67 rue de Lancry, 75010) or a fancy (but worth it) dinner at Matière A (15 Rue Marie et Louise, 75010) - reserve the latter online in advance (http://www.matiere-a.com/en/)!",explore,,,,,,,,,,,,
Start at the base of Montmartre: the Moulin Rouge and head on up!,"Take a photo of this famous home of the French Can-Can pictured in many Impressionist paintings. Shows are at night and can cost over a hundred euros for a seat (but include champagne)! Once you are done, make your way up to the top of the hill following Rue Lepic.",explore,"Montmartre has a unique feel, and one of the best ways to experience it is to go down some side roads and get lost. We strongly recommend taking a walking tour of Montmartre if you are at all curious about the history of this hill. There are also self-guided tours available online.","As you go up the hill from the Moulin Rouge, stop by the Café des Deux Moulins from the famous movie Amélie for a coffee. The bathroom has been turned into a mini-shrine to the movie! (15 Rue Lepic, 75018)
If you want to do something truly off the beaten path, go see a movie in Studio 28 (10 rue Tholozé), a movie theatre from the 1920s. If you’re not interested in any of the movies playing, still stop in and have a small drink in their (heated) winter garden.
Not afraid of the dead? Take a detour to the cemetery of Montmartre (20 Avenue Rachel, 75018). It is especially beautiful and in the fall. See if you can spot one of the famous graveyard cats or the tomb of the famous singer Dalida) 
",Four hours,,,"82 Boulevard de Clichy, 75018",75018,,walking route,,,
Dine in Montmarte,"There are many places to eat here. If you want a truly unique experience, head back a little bit down the hill and climb over a table (literally, it is that small) to get into your seat and enjoy the fondue (meat or cheese) at Le Refuge de Fondus (address: 17 Rue des Trois Frères, 75018). Wait til you see how they serve the wine! Get there early to ensure a seat! Already did fondue on this trip? We also suggest La Mandigotte (68 Rue Lepic, 75018 Paris, France) for quality French food and then a drink up on top floor bar of Terass” Hotel for a night cap with the view of the Eiffel Tower (12-14 Rue Joseph de Maistre, 75018)",explore,,,,,,,,,,,,
Covered Passages,"The fad for covered passages started in the 1820s, when the streets were dirty and unpaved, making even a small walk between shops an unpleasant experience. These passages were the precursor to malls: all the shops you could want in an indoor (and sometimes even heated!) area. You can book a walking tour, or see them on their own. The Guardian has a nice article (https://www.theguardian.com/travel/2012/mar/02/paris-hidden-passages-shopping-shops) on them, and there are maps available online.
",explore,,,As long as you like!,Free,,,,,,,,
