Name,Description,Type,Price,Price Range(0-4),address,Day Part,zipcode,website,Things to note:,Optional:,Time to spend:,other fields,keywords,secondary keyword,Opening and closing,neighborhood
Grandes Serres du Jardin des Plantes,Greenhouse,park,7,,Allée Jussieu,"morning,afternoon",75005,http://www.jardindesplantes.net/fr/preparez-votre-visite/jardins/grandes-serres-jardin-plantes,,,,,,,,quartier latin-est
Notre dame/ marche du noel,,explore,,1,67-52 Quai de Montebello,"morning,afternoon",75005,https://www.marches-noel.org/marche-de-noel-de-paris-notre-dame/,,,,,,,,
cluny museum,"The structure is perhaps the most outstanding example still extant of civic architecture in medieval Paris. It was formerly the town house of the abbots of Cluny, started in 1334. The structure was rebuilt by Jacques d'Amboise, abbot in commendam of Cluny 1485–1510; it combines Gothic and Renaissance elements. In 1843, it was made into a public museum, to hold relics of France's Gothic past preserved in the building by Alexandre du Sommerard.",museum,9,,6 place Paul Painlevé,"morning,afternoon",75005,http://www.musee-moyenage.fr/,,,,,,,,quartier latin-ouest
Caveau de la huchette,"A jazz club it has been a venue for American greats like Lionel Hampton, Count Basie, and Art Blakey, as well as leading French jazz musicians like Claude Luter and Claude Bolling. Sidney Bechet and Bill Coleman were American expatriates in France who are also associated with the club.",bar,,2,5 Rue de la Huchette,night,75005,http://www.caveaudelahuchette.fr/,,,,,,,,quartier latin-ouest
Parc de belleville,"One of the many parks throughout Paris, this one offers a view of the Eiffel Tower from afar.",park,0,,47 Rue des Couronnes,"morning,afternoon",75020,https://www.paris.fr/equipements/parc-de-belleville-1777,,,,,,,,belleville
,,,,,,,,,,,,,,,,
la Bellevilleoise,"Now a bar and concert venue, it was originally a place of social action put in place by local mechanics.",bar,?,2,19-21 Rue Boyer,night,75020,https://www.labellevilloise.com/,,,,,,,,belleville
pere lachaise,"One of Paris's cemetaries, Pere Lachaise houses many public figures from parisian life and the international community.",park,0,,16 Rue du Repos,"morning,afternoon",75020,http://www.pere-lachaise.com/perelachaise.htm,,,,,,,8-1800,belleville
Blé Sucré,"Their pastries are so good! We recommend getting a brioche studded with raspberries & a large coffee to dunk it in. If you have a sweet tooth, try a chausson aux pommes, an apple turnover.",boulangerie,1,,7 Rue Antoine Vollon,"morning,afternoon",75012,https://www.tripadvisor.com/Restaurant_Review-g187147-d3686910-Reviews-Ble_Sucre-Paris_Ile_de_France.html,,,Thirty Minutes,,,,07:00 - 19:30,
Opéra Garnier,Audioguide & wander through the opera or watch a ballet,theater,11,,8 Rue Scribe,night,75009,https://www.operadeparis.fr/,,,,,,,,9eme
Musee de la vie romantique,free mseum- really tiny but good garden.,museum,5,,16 Rue Chaptal,"morning,afternoon",75009,http://www.museevieromantique.paris.fr/fr,,,,,,,,9eme
boulangerie at the intersection of rue lepic and abbesses,This boulangerie makes some of the best bread you'll eat in the world.,boulangerie,,2,,"morning,afternoon",,,,,,,,,,montmartre
Musee Montmartre,"The museum gardens alone are worth the price of admission. But in addition to the beautiful view, this museum has a wonderful collection of paintings of Montmartre itself, and it has preserved the studio of Suzanne Valadon, one of the artists who lived and worked on Montmartre when it was the center of the art world.",museum,12,,12-14 Rue Cortot,"morning,afternoon",75018,http://museedemontmartre.fr/en/infos-pratiques/,,,An hour and a half,,,,10:00 am to 6:00 pm,montmartre
Musée de l'Orangerie,"The Musée de l'Orangerie is a sister museum to the Musée d'Orsay, and also dedicated to impressionist and Post-Impressionist art (roughly 1850 to 1914). The highlight is Monet's monumental Water Lilies, which are displayed in two rooms built specially to house them",museum,12,,,"morning,afternoon",,http://www.musee-orangerie.fr/en,,"If you prefer surrealist art: the Espace Dali is also a must see. It is a small museum dedicated to Salvador Dali (11 Rue Poulbot, 75018).",,,,,"Wednesday-Monday, 9:00 - 18:00",1
Saint Sulpice,"The baroque-era church of Saint-Sulpice has a fascinating, layered history. During the French Revolution it was deconsecrated and turned into a Temple of the Supreme Being (you can just barely make out the inscription on the façade) and then into a Temple of Victory, before being re-consecrated as a Catholic church. In December there is a Christmas market in front of the church.",church,0,,2 Rue Palatine,"morning,afternoon",75006,https://en.parisinfo.com/paris-museum-monument/93215/Eglise-Saint-Sulpice,,Still feel like walking? Duck into the Luxembourg Gardens nearby but beware it closes at 17:00 in the fall.,30 minutes,,,,,6
Pierre hermé,"Best macarons in Paris, best macarons in the world? It isn't a risky statement.",store,,2,18 Rue Sainte-Croix de la Bretonnerie,"morning,afternoon",75004,https://www.pierreherme.com/,,,,,,,,6
la pariesienne,This boulangerie offers some fo the best pain feuillete that you will find.,boulangerie,,1,12 Rue Cadet,"morning,afternoon",75009,http://www.boulangerielaparisienne.com/,,,,,,,,6
Versailles,Chateau,explore,,,,"morning,afternoon",,,,,8 hours,,museum,nature,"Tuesday-Sunday: April-October 9h00 - 18h30, November-March: 9h00 - 17h30.",hors paris
,Jardin,explore,,,,"morning,afternoon",,,,,,,,,"Tuesday-Sunday: April-October 7h00 - 20h30, November-March: 8h00 - 18h00.",
,Grand & Petit Trianon,explore,,,,"morning,afternoon",,,,,,,,,"Tuesday-Sunday: April-October 12h00 - 18h30, November-March: 12h00 - 17h30.",
Cemetary of monmartre,"The Montmartre Cemetery was opened on January 1, 1825. It was initially known as la Cimetière des Grandes Carrières. The name referenced the cemetery's unique location, in an abandoned gypsum quarry. The quarry had previously been used during the French Revolution as a mass grave.",cemetary,0,,20 Avenue Rachel,"morning,afternoon",75018,https://www.paris.fr/equipements/cimetiere-de-montmartre-5061,,,,,,,,
Museum of counterfeiting,,museum,6,,16 Rue de la Faisanderie,"morning,afternoon",75016,https://musee-contrefacon.com/,,,,,,,,
Notre Dame,"Built between 1163 and 1345, the Notre Dame de Paris (literally translated: Our lady of Paris) has been the symbol of the city since it was created. Today it is still an important shrine for believers, since it holds the Crown of Thorns. Make sure you check out the square in front of the church. It has been turned into a map of the medieval town. It is here where you can also see Point Zero, the geographical center of the city.",church,0,,6 Parvis Notre-Dame - Pl. Jean-Paul II,"morning,afternoon",75004,http://www.notredamedeparis.fr/en/visites/,"There is often a long line to get into Notre Dame. Do not be afraid of it! It is simply for the bag check, and it moves very quickly. There is a dress code to enter: shoulders and thighs must be covered.
","If you are interested in the ancient Roman and medieval history of Paris, check out the Archaeological Crypt on the other end of the square from the church (website). http://www.crypte.paris.fr/en/crypt",One hour,,,,"7h45 à 18h45, 1945 sat sun",Ile de la Cité
Vedettes du Pont Neuf - Boat Cruise,This is one of the best ways to see all of the central landmarks of Paris.,cruise,10,,1 Square du Vert Galant,"morning,afternoon,night",75001,http://www.vedettesdupontneuf.com/home/,,,,,,,every 1/2h from 10:30am to 10:30pm,
Sainte Chapelle,"This was the private chapel of the kings of France, built by Louis IX between 1242 and 1248. The stained glass in the chapel is stunning, and more than 70% of it survives from the middle ages. In our opinion, it is one of the most beautiful churches in Paris, and definitely worth the price of admission.",church,10,,8 Boulevard du Palais,"morning,afternoon",75001,http://www.sainte-chapelle.fr/en/,"To get to the chapel you will have to go through a rigorous security check since it is in the same complex as government offices. You will not be allowed to bring in glass bottles or sharp metallic objects, including corkscrews.",Feeling like packing in the sights? Buy a combined ticket and check out the Conciergerie next door. This famous prison is where Marie-Antoinette spent her final days. http://www.paris-conciergerie.fr/en/,One hour (Two hours with the Conciergerie),,,,9-1700,
Le Jardin Luxembourg,A beautiful park located near the center of Paris. This park is perfect for a stroll or a picnic.,park,0,,Le Jardin du Luxembourg,"morning,afternoon",75006,https://www.parisinfo.com/musee-monument-paris/71393/Jardin-du-Luxembourg,,,,,,,"7h30 et 8h15 et fermeture entre 16h30 et 21h30, selon la saison",
Shakespeare and Company,"Browse through the most famous English-language bookstore in France. The original Shakespeare and Co., founded by Sylvia Beech, was a gathering place for expat writers in the 1920s. This Shakespeare and Co., founded in 1951 by George Whitman, has also become a magnet for writers, artists, and intellectuals. The collection is vast, the people are interesting, and the atmosphere is unparalleled. The top floor is for reading only as the books there are not for purchase.",store,0,,"37 Rue de la Bûcherie, 75005","morning,afternoon",75005,https://shakespeareandcompany.com/,,Need a snack? Check out the newly-opened café next door to Shakespeare and Company.,30 minutes,,,,7/7  1000 - 2300,
La Ferme Saint-Aubin,,,,,"76 Rue Saint-Louis en l'Île, 75004 Paris, France","morning,afternoon",75004,https://www.tripadvisor.fr/Attraction_Review-g187147-d194313-Reviews-La_Ferme_Saint_Aubin-Paris_Ile_de_France.html,,,,,,,09:00 - 19:30,
Musée d'Orsay,"Once a train station in the heart of the city, the Orsay museum is dedicated to impressionist and Post-Impressionist art (roughly 1850 to 1914). Its collections include some of the most famous paintings by Monet, Renoir, and Van Gogh. Make sure you take a break from the art & visit the café on the top level, where you will get a view of the city from behind one of the giant clocks!",museum,12.40,,"1 Rue de la Légion d'Honneur, 75007 Paris","morning,afternoon",75007,http://www.musee-orsay.fr/en/visit/welcome.html,Worth it to buy tickets ahead of time via the website in order to skip the line (enter via the right.),,,,,,"9.30am to 6pm
9.30am to 9.45pm on Thursdays",6
Moulin Rouge,,theater,225,,"82 Boulevard de Clichy, 75018 Paris",Night,75018,http://www.moulinrouge.fr/a-propos?lang=en,,,,,,,,
Café des deux moulins,,bar,,2,"15 Rue Lepic, 75018 Paris","morning,afternoon,night",75018,http://cafedesdeuxmoulins.fr/en,,,,,,,08h - 02h,
Sacré-Coeur,The church of Sacré Coeur is built on the highest natural point in the city. So of course the view from here is absolutely spectacular! Spend the rest of your time wandering the small streets of Montmartre where artists still roam and the Impressionists left their mark.,church,0,,"35 Rue du Chevalier de la Barre, 75018","morning,afternoon",75018,http://www.sacre-coeur-montmartre.com/english/practical-information/opening-and-service-times/,"Entry into the church is free for worshippers. Photos are forbidden inside, and they do ask for complete silence.",Go into the crypt and up in the dome for spectacular views for a small fee (https://www.tripadvisor.com/ShowUserReviews-g187147-d190685-r158614817-Basilica_du_Sacre_Coeur_de_Montmartre-Paris_Ile_de_France.html).,One hour,,,,600 - 2230,
Matière à,,restaurant,,3,"15 Rue Marie et Louise, 75010 Paris",night,75010,http://www.matiere-a.com/,,,,,,,"mon-fri 12-14,1930-2300 sat 1930-2300",
Walk through Place des Vosges & Hôtel de Sully,"This square used to be home to one of the royal residences. Today, it is filled with art galleries and cafés. As you walk through, try and spot which buildings are made of real brick and which ones are simply painted to imitate brick! Go through the door in the southwest corner of the square, and you will enter Hôtel de Sully, a 17th century noble townhouse. If you like books about Parisian history, check out the bookstore in the building, which is owned by the National Monuments department of the French government.",explore,,,"Hôtel de Sully, 62 Rue Saint-Antoine, 75004","morning,afternoon",75004,https://en.parisinfo.com/transport/73189/Place-des-Vosges,,,Thirty minutes,,,,,
Le Village Saint-Paul,,explore,0,3,"Le Village Saint-Paul, Rue Saint-Paul, Paris","morning,afternoon",75004,http://levillagesaintpaul.com/,,,,,,,,
Arc de Triomphe,"Built by Napoleon Bonaparte as a monument to his victories. Today the Arc de Triomphe is also a memorial to French soldiers who died during the Revolutionary and Napoleonic Wars, and contains the Tomb of the Unknown Soldier.",monument,12,,"Place Charles de Gaulle, 75008","morning,afternoon",75008,http://www.paris-arc-de-triomphe.fr/en/,Open til 23:00. There is a special life for those with reduced mobility.,,Two hours,,,,10.00-22.30,
Ladurée,Go here and get some of the most sought after macarons in Paris.,store,,2,"75 Av. des Champs-Élysées, 75008 Paris","morning,afternoon",75008,https://www.laduree.fr/en/our-shops-and-restaurants.html?facetFilters%5Bf_countryId%5D%5B100084%5D%5Bf_city%5D%5B108581%5D=1,,,,,,,1030-2300,
Louvre,"Le Louvre Museum, is the world's largest art museum and a historic monument in Paris, France. This structure which was originally the seat of the royalty and then the government is a central landmark of the city. Located on the Right Bank of the Seine in the city's 1st arrondissement, Le Louvre is one of the most central and must see monuments in Paris. Approximately 38,000 objects from prehistory to the 21st century are exhibited over an area spanning over 8 city blocks.",museum,15,,"Musée du Louvre, rue de rivoli, 75001 paris","morning,afternoon",75001,http://www.louvre.fr/en/homepage,,,,,,,"Monday, Thursday, Saturday, Sunday: from 9 a.m. to 6 p.m.
Wednesday, Friday: from 9 a.m. to 9:45 p.m",
Galeries Lafayette,Paris's classiest shopping mall. ,store,0,4,"40 Boulevard Haussmann, 75009 Paris","morning,afternoon",75009,galerieslafayette.com,,,,,,,"Monday to Saturday from 9.30am to 8.30pm
& Sundays from 11am to 7pm",
Kaitleen,Restraunt and lounge for both dinner and lunch. Tapas style dining and snacking.,restaurant,,3,"7 Rue des Petits Champs, 75001 Paris",night,75001,kaitleen.com,,,,,,,,
Marché Notre-Dame,,explore,0,,"Marché Notre-Dame, Rue Neuve Notre Dame, Versailles","morning,afternoon",78000,http://www.versailles-tourisme.com/informations-pratiques-et-conseils/les-bonnes-adresses-shopping-de-versailles/les-marches-de-versailles-962895,,,,,,,"Mardi, vendredi et dimanche de 7h à 14h.",
Chateau Versailles,,monument,,,"Place d'Armes, 78000 Versailles","morning,afternoon",78000,http://en.chateauversailles.fr/plan-your-visit/practical-information,,,,,,,9.00 am – 6.30 pm,
Petit Trianon,,explore,,,"Petit Trianon, Versailles","morning,afternoon",78000,http://www.chateauversailles.fr/decouvrir/domaine/domaine-trianon/petit-trianon,,,,,,,,
Grand Trianon,,explore,,,"Grand Trianon, Versailles","morning,afternoon",78000,http://www.chateauversailles.fr/decouvrir/domaine/trianon/grand-trianon,,,,,,,,
Eiffel Tower,"Head to the Eiffel Tower, the most famous monument in Paris! Get a beautiful view of the tower either from the Champs de Mars (the big lawn in front of the tower) or Trocadero square (the building across the river from it). You do not need tickets to walk under the tower, but you do have to go through a security check. We think the view from right under the tower is worth the hassle.",monument,"Adults 17 euros to summit via elevator. 11 euros to 2nd floor via elevator. 7 euros to 2nd floor via stairs. Children ages 1-11: 8 euros, 4 euros, and 3 euros respectively. Children ages 12-24: 14.50 euros, 8.50 euros, and 4 euros respectively.",,"Champ de Mars, 5 Avenue Anatole France, 75007 ","morning,afternoon",78007,http://www.toureiffel.paris/en/preparing-your-visit/opening-times,"The Eiffel Tower forbids glass bottles, aluminum cans, or sharp objects, so please do not bring any of these if you wish to enter or walk under the tower. In November, it is not always necessary to book your tickets to the top in advance, but if you are it a rush or do not like waiting in line, consider booking a tour of the tower.",,Three hours,,,,930-2300,
Musée d'art et d'histoire du Judaïsme,,museum,,,"Hôtel de Saint-Aignan, 71 Rue du Temple, 75003 Paris","morning,afternoon",75003,https://www.mahj.org/en/discover/museum,,,,,,,"Tuesday to Friday: 11.00–18.00 
Saturday and Sunday: 10.00–18.00",
Chez Marianne,"The best falafel in Paris. If you are looking for something to eat on the go while strolling through the marais, get a nice falafel for 5 euros. Otherwise, sit down and treat yourself to a plethera of different israelian specialties.",restaurant,,1,"2 Rue des Hospitalières Saint-Gervais, 75004 Paris","morning,afternoon,night",75004,,,,,,,,12-2300,
Pain Vin Fromage,,store,,2,"3 Rue Geoffroy l'Angevin, 75004 Paris","morning,afternoon",75004,http://painvinfromages.com/,,,,,,,Starting at 19h,
Marché Aligre,"The Aligre market is one of the oldest covered markets in the city. In addition to the usual fresh produce, this covered market has a great fromagerie, a vegetarian butcher(!) and oodles of spices. There are also places to grab lunch.",explore,0,,"Place d'Aligre, 75012 ","morning,afternoon",75012,,The market is closed on Mondays.,,two hours,,,,Teus-Sat 9-1300 16-1900,
La fine mousse,,bar,,,"6 Avenue Jean Aicard, 75011 Paris, France","afternoon, night",75011,http://www.lafinemousse.fr/,,,,,,,"Mon-Fri 19h00-22h30
sat,sun 12-14,19-23",
Bellevilloise,,bar,,,"19-21 Rue Boyer, 75020 Paris",night,75011,https://www.labellevilloise.com/,,,,,,,"Wed-fri 19-1, sat 11-2, sun 1130 - 14, 19-00",
Musée Cluny,,museum,,,"6 Place Paul Painlevé, 75005 Paris","morning,afternoon",75020,www.musee-moyenage.fr/,,,,,,,every day but tues 9:15-1745,
Place Maubert,,explore,,,"Place Maubert, Paris, 75005","morning,afternoon",75005,,,,,,,,,
Jardin des plantes,,park,,,"57 Rue Cuvier, 75005 Paris","morning,afternoon",75005,http://www.jardindesplantes.net/,,,,,,,8-1830,
Au Lapin Agile,"Au Lapin Agile was a popular watering hole for the artists living on the hill during the turn of the last century. One of Picasso’s most famous self-portraits shows him here. Au Lapin Agile is still a cabaret artistique, and spending an evening there is really is a unique experience. You do have to participate in the singing of French drinking songs, but the choruses are easy for a non-francophone to pick up!
",theater,28,,"22 Rue des Saules, 75018 ",night,75018,au-lapin-agile.com,"Au Lapin Agile is open Tuesday-Sunday, 21:00-1:00. Reservations are required and they do not serve food, so eat something before arriving.",,Four hours,,,,,
Opéra Garnier,"The Opera Garnier is open for visitors when perrformances are not running. You can head in through the back entrance & pick up an audio guide that will take you through this fantastic Second Empire building. Be sure to check out Marc Chagall’s painted ceiling above the auditorium, and the box that is permanently reserved for The Phantom of the Opera.",theater,12,,"Opéra Garnier, 8 Rue Scribe, 75009 Paris","afternoon, night",75009,https://www.operadeparis.fr/en/visits/palais-garnier/individuals-2/information-and-booking,"Opera Garnier is open to visitors every day 10:00-17:00, but they do regularly close the building for part of a day when special performances or rehearsals are happening. Please check their website a day or two before.",,One and a half hours,,,,,
Musée du chocolat,,museum,,,"28 Boulevard de Bonne Nouvelle, 75010 Paris","morning,afternoon",75010,http://www.museeduchocolat.fr/?lang=en,,,,,,,10-18,
Forum Des Halles,,mall,,,"Les Halles, 75001 Paris","morning,afternoon,night",75001,http://forumdeshalles.com/,,,,,,,11-19,
Duc des lombards,,bar,,,"42 Rue des Lombards, 75001 Paris",night,75001,ducdeslombards.com,,,,,,,,
Musée de la chasse,,museum,,,"62 Rue des Archives, 75003 Paris","morning,afternoon",75003,http://www.chassenature.org/visite/?lang=en/#horaires,,,,,,,"Mardi à Dimanche, 11h à 18h 
Mercredi, 11h à 21h30",
Chez Janou,,restaurant,,,"2 Rue Roger Verlomme, 75003 Paris",night,75003,http://www.chezjanou.com/,,,,,,,"12-15, 19-00h00",
Musée des arts forains,,museum,,,"53 Avenue des Terroirs de France, 75012 Paris","morning,afternoon",75012,http://arts-forains.com/en/visitors,,,,,,,10-18,
Invalides: Army Museum and the Tomb of Napoleon,"Come for Napoleon's tomb, which is worth the admission a lone, and stay for the history and impressive collection in the Army museum. This complex is still used as a home for wounded soldiers so do not be surprised if you pass some of the residents. The chapel is also worth a visit.",museum,12,,"Place des Invalides, 75007","morning,afternoon",75007,http://www.musee-armee.fr/en/coming-to-the-museum/opening-times-and-prices.html,,,2 hours,,,,10-18,
Pont Alexandre 3,,explore,,,"Pont Alexandre 3, 75008 Paris","morning,afternoon",75008,,,,,,,,,
Petit Palais,"Built for the World Expo, the petit palais is a stunning work of architecture that will captivate you.",explore,,,"Petit Palais, Avenue Winston Churchill, Paris","morning,afternoon",75008,http://www.petitpalais.paris.fr/en/plan-your-visit/basic-information,,,,,,,10-18 closed: monday,
Musée de l'Orangerie,"Not far from the Louvre, this museum houses the famous water lilies painted by Monet.",museum,,,"Musée de l'Orangerie, Jardin Tuileries, 75001 Paris","morning,afternoon",75001,,,,,,,,"Open from 9am to 6pm, Last admission: 5.15pm, Closed on Tuesdays",
Basilique de Saint-Denis,,church,"€9,00",,"1 Rue de la Légion d'Honneur, 93200 Saint-Denis","morning,afternoon",93200,http://www.saint-denis-basilique.fr/en/Prepare-for-your-visit/PRATICAL-INFORMATION#horaires,,,,,,,"Monday, Tuesday, Wednesday, 
Thursday, Friday, Saturday 10.00-17.15 
Sunday 12.00-17.15",
Studio 28,,theater,,,"10 Rue Tholozé, 75018 Paris",night,75018,http://www.cinema-studio28.fr/contact/,,,,,,,,
Jan Tchi,"No one thinks of visiting Korea while in Paris, but this food is as authentic as it gets. Their Bibimbap will make your mouth water. Be sure to get there early, they don't take reservations and there is always a line.",restaurant,,,"6 Rue Thérèse, 75001 Paris",night,75001,http://www.jantchi.com/,,,,,,,"12:00–14:30, 19:00–22:20, 
closed sunday",
Green river,privatised boat - seine canal,cruise,,,34 Quai d'Austerlitz,"morning,afternoon,night",75013,http://www.greenriver-paris.fr/en/greenriver-tariffs-2016,,,,,,,,Hotel OFF,American breakfast at a hotel on seine,restaurant,,,86 Quai d'Austerlitz,morning,75013,https://www.tripadvisor.fr/Hotel_Review-g187147-d10506106-Reviews-Hotel_OFF_Paris_Seine-Paris_Ile_de_France.html,,,,,,,,
Dinner overlooking the Eiffel Tower,"Trocadero square has one of the best views of the Eiffel tower (in our opinion) but with the benefit of being a little farther away from the crowds. Be sure to peruse before sitting down as not all cafés are created equal. One of our favorites is Café Malakoff (6 Place du Trocadéro et du 11 Novembre, 75116). After eating cross the street to get a snapshot overlooking the Eiffel Tower.",restaurant,,,metro trocadero,night,75016,,The Eiffel Tower sparkles for a couple minutes on the top of each hour.,,Enjoy the rest of your night!,,neighborhood,food,,16
Vedettes du Pont Neuf - Boat Cruise,Relax and let the sights come to you as you cruise past the Eiffel Tower and many other famous places.,cruise,"€14,00",,"1 Square du Vert Galant, 75001","morning,afternoon,night",75001,http://www.vedettesdupontneuf.com/home/,"This is an hour-long river cruise. Boats run every half hour from 10:30 to 22:30, but please double-check their website for any schedule changes before arriving.",There is other locations such as at Port-Llena,One hour,,activity,tour,,1
Catacombs,"Originally, the catacombs were limestone quarries. In the late 18th century, the overcrowded cemeteries of Paris were closed, and the bones of those buried there were placed in a section of these tunnels. Today you can explore about 2 km of those tunnels, including the ossuary where 3-4 million people are resting. The history of the Catacombs and the ossuary are absolutely fascinating, and we recommend booking a guided tour. Not only will you get more information in a tour, you will also get to go to sections of the Catacombs that are not open to the general public!",museum,"Advance ticket with audioguide: 29 euros, otherwise 13 euros entry only, 17 euros total including Archeological Crypt Museum, and 5 for audioguide",,"1 Avenue du Colonel Henri Rol-Tanguy, 75014","morning,afternoon",75014,http://www.catacombes.paris.fr/votre-visite,"Closed on Mondays. It is HIGHLY recommended especially in high-season to buy online and in advance a 'cut-the-line' ticket (it includes an audioguide) as wait times can be over two hours. Catacombs are not good for those with reduced mobility or fear of enclosed spaces. If you are going to wait in line, be aware that there are no toilets in the Catacombs or at the entrance.",You can get a ticket that includes the Archaelogical Crypt Museum (small but nice museum in front of Notre Dame) but this ticket can only be bought on location.,Two to four hours (if you wait in line) ,,,,,
"Lunch in the backroads of Notre DameWander the small neighborhood behind Notre Dame to grab a bite to eat. We suggest the Reserve of Quasimodo (4 rue de la Colombe, 75004).  This is where the true life story of Sweeney Todd ( happened so do not lose your head (http://www.messynessychic.com/2014/04/28/sweeney-todd-de-paris-the-original-demon-barber/). ",,explore,,,,,,,,,,,,,,
Sightseeing Cruise along the Seine river,"Relax and let the sights come to you as you cruise past the Eiffel Tower and many other famous places. The Bateau Parisien docks are just at the foot of the Eiffel tower, and they do allow you to bring food and drink.",cruise,"€15,00",,"Porte de la Bourdonnais, 75005, accessible from Avenue de la Bourdonnais or from Pont d’Iéna","morning,afternoon,night",75005,https://www.bateauxparisiens.com/en/cruise-tours.html,"This is an hour-long river cruise. Boats run every half hour from 10:30 to 22:30, but please double-check their website for any schedule changes before arriving.",,One and a half hours,,,,,
Dine in the Rue de Cler area,"This road is very close to the Eiffel Tower and filled with good restaurants. If none of them tickle your fancy, walk along rue Saint-Dominique, where there are even more places to eat.",restaurant,,,,night,,,"Get off at station Pont d'alma, if taking the metro.",,,,,,,
Flower Market,"In between Notre Dame and Sainte Chapelle, the flower market is a wonderful place to (literally) stop and smell the roses. On Sundays, the flower market turns into a bird market.",explore,,,"Place Louis Lépine, Quai de la Corse 75001","morning,afternoon",75001,http://www.sainte-chapelle.fr/en/Prepare-for-your-visit/Pratical-information,,,Thirty minutes,,,,,
Île Saint-Louis,Enjoy this mostly pedestrian island in the center of Paris. There are many dining options and plenty of street performances on a nice evening.,explore,,,ile saint louis,"morning,afternoon",75004,https://en.wikipedia.org/wiki/%C3%8Ele_Saint-Louis,,"Recommended restaurants include: La Brasserie de Saint Louis (55, quai de Bourbon 75004) or Auberge de la Reine Blanche (30, rue de St-Louis-en-l'Ile). Be sure to try Berthillon ice cream, which originated on Île Saint Louis. It is sold at several restaurants or from street vendors. During the day stop by at the original icecream parlor location ( 29-31 Rue Saint-Louis en l'Île, 75004) for a scoop or other delicious dessert.",,,,,,
Invalides to Saint Germain,"Take the long way from Invalides by walking over the Bridge Saint Alexandre III, then turning right through place de Concorde, continue straight through the Tuileries gardens (across the river from the Museum D'Orsay) and arrive at the Louvre. Cross back over to the left bank and continue to these cafés to take a load off your feet after a nice hour walk (not including photos).",explore,,,Rond-Point du Bleuet de France,"morning,afternoon",75007,http://www.musee-armee.fr/lhotel-des-invalides.html,,,,,route,,,
Cafés of the greats,"The two cafés on this corner (Café Flore and Café Deux Magots) may be pricey now, but they once were cheap and a haven for such famous thinker and writers of the café society as Hemingway, Sartre, Camus and de Beauvoir. It is still worth it to stop by for a café or a bite to eat what was experience their view. The second floor of Café Flore is supposed to be more quiet if you desire some rest from the hustle during lunch.",cafe,,,"6 Place Saint-Germain des Prés, 75006 Paris","morning,afternoon",75006,,,,,,,,,
